36232747,'Drylaw Police St',55.9675,-3.24736
36232748,'Wester Drylaw',55.967,-3.2514
36232749,'Wester Drylaw',55.9666,-3.25295
36232752,'Muirhouse Green',55.9665,-3.25515
36232753,'Silverknowes Vie',55.966,-3.26032
36232754,'Silverknowes Neu',55.9659,-3.26089
36232756,'Silverknowes Roa',55.9662,-3.26448
36232757,'Silverknowes Roa',55.9662,-3.26504
36232758,'Silverknowes Cou',55.9666,-3.26649
36232759,'Silverknowes Mid',55.9669,-3.26796
36232762,'Silverknowes Par',55.9714,-3.27194
36232764,'Silverknowes',55.9692,-3.27007
36232765,'Silverknowes Cou',55.9694,-3.27056
36232767,'Craigroyston Com',55.9678,-3.24934
36232768,'Pennywell Road',55.9695,-3.25065
36232769,'Pennywell Road',55.9714,-3.25228
36232782,'Pennywell Place',55.974,-3.25368
36232783,'West Pilton Cres',55.9743,-3.2538
36232784,'Salvesen Gardens',55.9745,-3.2552
36232785,'Salvesen Crescen',55.974,-3.25963
36232786,'Muirhouse View',55.9734,-3.26335
36232787,'Muirhouse Garden',55.9727,-3.2673
36232789,'Silverknowes Pla',55.972,-3.27153
36232792,'Silverknowes Pla',55.9724,-3.27117
36232793,'Muirhouse Garden',55.973,-3.26685
36232794,'Muirhouse View',55.9734,-3.26415
36232795,'Salvesen Crescen',55.9743,-3.25892
36232825,'Pennywell Grove',55.9726,-3.25352
36232826,'Muirhouse shops',55.9722,-3.25253
36232827,'Muirhouse Avenue',55.9702,-3.25083
36232828,'Community Centre',55.9676,-3.24876
36232829,'Ferry Road Drive',55.9679,-3.24297
36232832,'Crewe Toll',55.9695,-3.23677
36232834,'Crewe Road West',55.9732,-3.23834
36232835,'Boswall Parkway',55.9752,-3.23883
36232836,'Royston Mains Cr',55.9768,-3.23936
36232837,'Granton Mains Ea',55.9766,-3.2431
36232838,'Granton Mains Av',55.9765,-3.24662
36232839,'Pennywell Cottag',55.9754,-3.25292
36232842,'Gypsy Brae',55.9764,-3.24999
36232843,'Granton Mains Av',55.9766,-3.24519
36232845,'Granton Mains Ea',55.9768,-3.2425
36232846,'Royston Mains Cr',55.9767,-3.23915
36232847,'Boswall Parkway',55.9747,-3.23849
36232848,'Crewe Road West',55.9729,-3.23803
36232852,'Grigor Avenue',55.9665,-3.23474
36232853,'Gregor Drive',55.9673,-3.23725
36232854,'Telford Place',55.9662,-3.23769
36232856,'Telford Gardens',55.9634,-3.23882
36232857,'Teford Drive',55.9618,-3.24143
36232858,'Groathill Road S',55.9609,-3.24585
36232859,'Drylaw Avenue',55.9607,-3.24826
36232862,'Forthview Terrac',55.9606,-3.25241
36232863,'Whitehall Court',55.9607,-3.25614
36232864,'Orchard Brae Ave',55.9564,-3.22344
36232865,'Orchard Brae Wes',55.9578,-3.22541
36232867,'Orchard Brae wes',55.9583,-3.22574
36232868,'Comely Bank Ceme',55.9601,-3.22843
